student-rfid,student-first-name,student-middle-name,student-last-name,student-grade-level,student-section,guardian-first-name,guardian-middle-name,guardian-last-name,guardian-relationship,guardian-contact-number
,Chelsea,A,Abonales,11,Bocobo,Jesse,J,Pinkman,Mother,9345672456
,Resha,N,Alpuerto,11,Bocobo,Pink,R,Floyd,Father,9453452672
,Karen,L,Angco,11,Bocobo,Nicki,A,Minaj,Mother,9325374637
,Hannah Vincent,A,Bajao,11,Bocobo,Ariana,B,Grande,Sister,9235492938
,Hanna Jane,D,Cabrera,11,Bocobo,The,G,Weekend,Father,9543482728
,Reyvin,P,Agbo,11,Bocobo,Sarah,B,Geronimo,Mother,9135372826
,Darryl,C,Banquerigo,11,Bocobo,Billie,G,Eillish,Mother,9568736762
,Erik James,M,Caliskis,11,Bocobo,Sana,A,Nalang,Sister,9895723738
,Rhedson Jake,B,Duba,11,Bocobo,Sharon,H,Cuneta,Mother,9905843829
,Roger Rodge,C,Dumaguit,11,Bocobo,Morissete,J,Amon,Sister,9987824537
