student-rfid,student-first-name,student-middle-name,student-last-name,student-grade-level,student-section,guardian-first-name,guardian-middle-name,guardian-last-name,guardian-relationship,guardian-contact-number
,Ma. Cassandra,G,Aballe,12,Sison,Jesse,J,Pinkman,Mother,9345672456
,Kiandra Amadella,E,Auditor,12,Sison,Pink,R,Floyd,Father,9453452672
,Christine,S,Broce,12,Sison,Nicki,A,Minaj,Mother,9325374637
,Desiree,B,Calonia,12,Sison,Ariana,B,Grande,Sister,9235492938
,Justine Jade,A,Caneda,12,Sison,The,G,Weekend,Father,9543482728
,Joseph Nathaniel,N,Bael,12,Sison,Sarah,B,Geronimo,Mother,9135372826
,Rolf Godwin,M,Capacio,12,Sison,Billie,G,Eillish,Mother,9568736762
,Marvie Kyle,G,Carlos,12,Sison,Sana,A,Nalang,Sister,9895723738
,Emmanuel,A,Girasol,12,Sison,Sharon,H,Cuneta,Mother,9905843829
,Cesar,D,Jumao-as,12,Sison,Morissete,J,Amon,Sister,9987824537
