student-rfid,student-first-name,student-middle-name,student-last-name,student-grade-level,student-section,guardian-first-name,guardian-middle-name,guardian-last-name,guardian-relationship,guardian-contact-number
,Angelin,B,Abella,7,Bartlett,Jesse,J,Pinkman,Mother,9345672456
,Marriane,C,Arcilla,7,Bartlett,Pink,R,Floyd,Father,9453452672
,Loraine,I,Arsua,7,Bartlett,Nicki,A,Minaj,Mother,9325374637
,Keziah Greer,B,Basañez,7,Bartlett,Ariana,B,Grande,Sister,9235492938
,Alie May Rose,D,Bilagantol,7,Bartlett,The,G,Weekend,Father,9543482728
,Hans Jacob,T,Abuda,7,Bartlett,Sarah,B,Geronimo,Mother,9135372826
,Hanzel,D,Cabatingan,7,Bartlett,Billie,G,Eillish,Mother,9568736762
,Xykien Edmarl,D,Cruz,7,Bartlett,Sana,A,Nalang,Sister,9895723738
,Reynn Jestine,C,Delsicoro,7,Bartlett,Sharon,H,Cuneta,Mother,9905843829
,Stephen Kris,K,Espleguera,7,Bartlett,Morissete,J,Amon,Sister,9987824537
