student-rfid,student-first-name,student-middle-name,student-last-name,student-grade-level,student-section,guardian-first-name,guardian-middle-name,guardian-last-name,guardian-relationship,guardian-contact-number
,Easter,M,Alsola,8,Villamor,Jesse,J,Pinkman,Mother,9345672456
,Ashley Miles,G,Amamangpang,8,Villamor,Pink,R,Floyd,Father,9453452672
,Christina,D,Dumaguit,8,Villamor,Nicki,A,Minaj,Mother,9325374637
,Ezell,L,Emit,8,Villamor,Ariana,B,Grande,Sister,9235492938
,Ashley Nicole,D,Geonzon,8,Villamor,The,G,Weekend,Father,9543482728
,Hart Jed,T,Abuda,8,Villamor,Sarah,B,Geronimo,Mother,9135372826
,Yheuan Orviel,G,Andoyo,8,Villamor,Billie,G,Eillish,Mother,9568736762
,Harry,D,Montano,8,Villamor,Sana,A,Nalang,Sister,9895723738
,Mark Anthony,C,Serion,8,Villamor,Sharon,H,Cuneta,Mother,9905843829
,Rodrian Apollo,E,Tañongon,8,Villamor,Morissete,J,Amon,Sister,9987824537
