student-rfid,student-first-name,student-middle-name,student-last-name,student-grade-level,student-section,guardian-first-name,guardian-middle-name,guardian-last-name,guardian-relationship,guardian-contact-number
,Katrina Marie,C,Aballe,9,Benton,Jesse,J,Pinkman,Mother,9345672456
,Maria Vinus,M,Barte,9,Benton,Pink,R,Floyd,Father,9453452672
,Jamaica Faith,P,Caballes,9,Benton,Nicki,A,Minaj,Mother,9325374637
,Michaela Nina,B,Cabucos,9,Benton,Ariana,B,Grande,Sister,9235492938
,Mitch,P,Camangyan,9,Benton,The,G,Weekend,Father,9543482728
,Charles,T,Anunciado,9,Benton,Sarah,B,Geronimo,Mother,9135372826
,Marc Anthony,C,Aringay,9,Benton,Billie,G,Eillish,Mother,9568736762
,Stelios Raven,S,Arnaiz,9,Benton,Sana,A,Nalang,Sister,9895723738
,Stefhone,E,De Gracia,9,Benton,Sharon,H,Cuneta,Mother,9905843829
,Aldrin,C,Dignos,9,Benton,Morissete,J,Amon,Sister,9987824537
